business_id,name_x,categories,category_Casual Dining & Drinks,category_Diverse Cuisine & Entertainment,category_Health & Lifestyle,category_Nightlife Essentials,category_Traditional Comfort Foods,category_Sophisticated Eats
yPSejq3_erxo9zdVYTBnZA,Los Agaves,"Mexican, Restaurants",0,1,0,0,0,0
U3grYFIeu6RgAAQgdriHww,Brophy Bros - Santa Barbara,"Cocktail Bars, Fish & Chips, Nightlife, Seafood, Restaurants, Bars",1,1,0,1,0,1
VAIOtbsxdNmuhUKkQZFRlA,Renaud's Patisserie & Bistro,"French, Cafes, Restaurants, Breakfast & Brunch, Food, Sandwiches, Bakeries",1,1,0,0,1,1
IDtLPgUrqorrpqSLdfMhZQ,Helena Avenue Bakery,"Food, Restaurants, Salad, Coffee & Tea, Breakfast & Brunch, Sandwiches, Bakeries",1,1,0,0,0,1
bjhCtlYHrkgA5Ku8l-rB3g,Our Daily Bread,"Restaurants, Cafes, Breakfast & Brunch, Bakeries, Food",0,1,0,0,0,1
hPzPpfSjgQkpWCD7YjcY-A,Lilac Pâtisserie,"Specialty Food, Health Markets, Restaurants, Gluten-Free, Bakeries, Coffee & Tea, Desserts, Breakfast & Brunch, Food",0,1,0,1,1,1
edJoBsse6nsF0BYh6pATAg,The Palace Grill,"Seafood, Cajun/Creole, American (New), Restaurants",1,1,1,0,0,0
CoZ2mpsMBP8HUG1ymKoZTg,Opal Restaurant & Bar,"Seafood, American (New), Sandwiches, Steakhouses, Restaurants, Bars, Nightlife",1,1,0,1,0,0
E7RtIisUoRMcADSebBgNAA,Santa Barbara FisHouse,"Tapas/Small Plates, Desserts, Restaurants, Breakfast & Brunch, Food, Seafood",1,1,0,1,1,0
BQv7ntaOxs80FJAji2U9pg,Harry's Plaza Cafe,"Restaurants, Event Planning & Services, American (Traditional), Venues & Event Spaces",1,0,0,1,0,0
skY6r8WAkYqpV7_TxNm23w,Boathouse at Hendry's Beach,"Seafood, Restaurants, Hawaiian, American (New), Breakfast & Brunch",1,1,1,0,0,0
nYPzsOjvida-ne7swSPHpA,Santo Mezcal,"Latin American, Restaurants, Mexican, New Mexican Cuisine",0,1,1,1,0,0
b1shfPbHpkeWtbGbz5iAtg,Rudy's Mexican Restaurant,"Restaurants, Mexican, Salad",0,1,0,0,0,1
fqStx0SvwMFChX_HIdUeEQ,Wine Cask,"Venues & Event Spaces, Cafes, Wine Bars, Event Planning & Services, Nightlife, Bars, Restaurants, American (New)",1,1,0,1,0,1
2YnQAJdeFrcgPa8MqIYcDg,Cody's Cafe,"Nightlife, American (Traditional), Cafes, Restaurants, Wine Bars, Breakfast & Brunch, Bars",1,1,0,0,0,1
oGDGlUbOjHxmmCh8ZYcDCg,The Lark,"Nightlife, Bars, Cocktail Bars, Food, American (New), Desserts, Restaurants",0,1,0,0,1,1
f3eve2cxUIzyanWnHdMtFQ,Corazon Cocina,"Restaurants, Breakfast & Brunch, Latin American, Mexican, Seafood",1,1,0,1,0,0
scH9yupjqMr-XP3bzJGY0A,Wildwood Kitchen,"Restaurants, Bars, Nightlife, Barbeque, Sandwiches",1,1,0,0,1,0
tf6S06LD09IFDHUpOPqPaw,East Beach Tacos,"Korean, Restaurants, American (New), Mexican, Tacos, Nightlife, Fast Food, Bars",0,1,0,1,1,1
m4kvY0viCwxqRtgOycnKVQ,Mony's Mexican Food,"Restaurants, Mexican",0,1,0,0,0,0
6EizP0XyqITuGZ8GZMI9Lw,Toma Restaurant & Bar,"American (New), Italian, Bars, Restaurants, Nightlife, Food, Beer, Wine & Spirits",0,1,0,0,1,1
q-1ICFSqs2MwDGfe5tX-SQ,Yellow Belly,"American (New), Pizza, Pubs, Nightlife, Bars, Restaurants, American (Traditional), Breakfast & Brunch, Beer Bar",1,1,0,1,0,1
QLHgjBHBoeIUoEvIPvjHnw,Mesa Burger - Santa Barbara,"American (New), American (Traditional), Bars, Restaurants, Salad, Burgers, Ice Cream & Frozen Yogurt, Food, Nightlife, Beer, Wine & Spirits, Beer Bar, Chicken Shop",1,1,1,1,1,1
0CHIbqSkGWBr2KMkIUocEA,Viva Modern Mexican,"Breakfast & Brunch, Venues & Event Spaces, Peruvian, Event Planning & Services, Bars, Nightlife, Latin American, Restaurants, Cocktail Bars, Seafood, Tapas/Small Plates, Mexican",1,1,1,1,0,1
-TjT3y-Glfnbt6LbKETAYg,Benchmark Eatery,"American (Traditional), American (New), Breakfast & Brunch, Restaurants, Seafood, Vegetarian, Nightlife, Event Planning & Services, Bars, Venues & Event Spaces",1,1,0,1,1,0
MbzgGsMQpGyVrUJXi_Jw0Q,Dawn Patrol,"Coffee & Tea, Breakfast & Brunch, Restaurants, American (New), Food",0,1,0,0,0,1
